Date,Description,Montant,Détails,Apparait sur votre relevé de compte sous,Adresse,Ville,Code postal,Pays,Référence
12/03/2024,TRIP.COM                INTERNET,"40,90",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243380043000010289995'
12/01/2024,TRIP.COM                INTERNET,"214,76",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243370044000010288717'
11/29/2024,TRIP.COM                INTERNET,"-142,29",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243340044000010274198'
11/29/2024,TRIP.COM                INTERNET,"164,00",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243340044000010274208'
11/29/2024,WEBLOYALTY SARL         NYON,"18,00",,WEBLOYALTY SARL         NYON,"23 ROUTE DE CRASSIER
BUSINESS PARK TERRE BONNE
BATIMENT A3
EYSINS",,1262,SWITZERLAND,'AT243340044000010274128'
11/28/2024,TRIP.COM                INTERNET,"9,45",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243330044000010247949'
11/28/2024,TRIP.COM                INTERNET,"142,29",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243330044000010242349'
11/27/2024,TRIP.COM                INTERNET,"51,25",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243320042000010271880'
11/25/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,"-1038,22",,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,,,,,'10000000011121999593300'
11/25/2024,TRIP.COM                INTERNET,"97,87",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243300042000010229616'
11/24/2024,TRIP.COM                INTERNET,"79,38",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243290034000010269086'
11/21/2024,TRIP.COM                INTERNET,"255,47",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243270044000010241796'
11/20/2024,TRIP.COM                INTERNET,"34,68",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243250044000010208717'
11/20/2024,VERSEMENT / COTISATION,"16,00",,VERSEMENT / COTISATION,,,,,'10000000011120998744740'
11/19/2024,TRIP.COM                INTERNET,"77,41",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243240044000010279541'
11/17/2024,AIR FRANCE COMPTOIR AIR FRANCE,"97,62","Trajet :    de        BANGKOK
à         PARIS CHARLES DE GCompagnie:      AF  Classe :        G
à         LYON SATOLAS APT  Compagnie:      AF  Classe :        L
N° du billet :  05723281572676          Passager :      FAUCOMPRET/REMI MR",AIR FRANCE COMPTOIR AIR FRANCE,"EURO SUBMISSIONS
FRANCE",,00000,FRANCE,'AT243230081000010035105'
11/17/2024,EXPEDIA.COM TRAVEL      SEATTLE,"-169,64","Trajet :    de        SHANGHAI
à         KUNMING           Compagnie:      MU  Classe :        B
à         VIENTIANE         Compagnie:      MU  Classe :        V
N° du billet :  78171946975894          Passager :      FAUCOMPRET/REMI Y
Foreign Spend Amount: 173.80 Dollar américain Commission Amount: 4,62 Currency Exchange Rate: 1.0532",EXPEDIA.COM TRAVEL      SEATTLE,"55 S LAKE AVE STE 120
PASADENA
CA",,91101,UNITED STATES,'AT243240044000010258776'
11/17/2024,EXPEDIA.COM TRAVEL      SEATTLE,"169,78","Trajet :    de        SHANGHAI
à         KUNMING           Compagnie:      MU  Classe :        B
à         VIENTIANE         Compagnie:      MU  Classe :        V
N° du billet :  78171946975894          Passager :      FAUCOMPRET/REMI Y
Foreign Spend Amount: 173.80 Dollar américain Commission Amount: 4,62 Currency Exchange Rate: 1.0523",EXPEDIA.COM TRAVEL      SEATTLE,"55 S LAKE AVE STE 120
PASADENA
CA",,91101,UNITED STATES,'AT243230081000010033933'
11/17/2024,TRIP.COM                INTERNET,"72,34",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243220033000010308979'
11/15/2024,AIRBNB * HMSWNJEEN5     LONDON,"154,89",,AIRBNB * HMSWNJEEN5     LONDON,"20-22 BEDFORD ROW
LONDON",,WC1R 4JS,UNITED KINGDOM,'AT243200041000010210492'
11/15/2024,TRIP.COM                INTERNET,"6,45",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243200041000010217512'
11/14/2024,TRIP.COM                INTERNET,"75,11",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243190043000010245047'
11/05/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,45",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT243110043000010235079'
11/04/2024,HOTEL ON BOOKING.COM    AMSTERDAM,"14,43",,HOTEL ON BOOKING.COM    AMSTERDAM,"OOSTERDOKSKADE 163
NOORD HOLLAND",,1011 DL,NETHERLANDS,'AT243100045000010247426'
10/31/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"8,36",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT243060029000010264172'
10/31/2024,TRIP.COM                INTERNET,"202,36",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243060029000010285475'
10/31/2024,TRIP.COM                INTERNET,"211,08",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243060029000010285476'
10/30/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,45",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT243060029000010263550'
10/29/2024,WEBLOYALTY SARL         NYON,"18,00",,WEBLOYALTY SARL         NYON,"23 ROUTE DE CRASSIER
BUSINESS PARK TERRE BONNE
BATIMENT A3
EYSINS",,1262,SWITZERLAND,'AT243030030000010249945'
10/28/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,45",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT243030030000010238214'
10/24/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,"-1036,93",,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,,,,,'10000000011021999686290'
10/20/2024,VERSEMENT / COTISATION,"15,00",,VERSEMENT / COTISATION,,,,,'10000000011120999719220'
10/17/2024,FNACDIRECT FNACDIRECT   IVRY SUR SEINE,"61,98",,FNACDIRECT FNACDIRECT   IVRY SUR SEINE,"9 RUE DES BATEAUX LAVOIRS
IVRY SUR SEINE",,94200,FRANCE,'AT242920030000010195165'
10/14/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"8,00",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242890029000010216701'
10/11/2024,TRIP.COM                INTERNET,"329,97",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT242860024000010236822'
10/11/2024,WWW.TICKET* TICKETSWAP  AMSTERDAM,"109,18",,WWW.TICKET* TICKETSWAP  AMSTERDAM,"""ROKIN 75, UNIT 2.1""
AMSTERDAM",,1012,NETHERLANDS,'AT242850024000010203672'
10/09/2024,AIR FRANCE              PARAY-VIEILLE-P,"182,35","Trajet :    de        AMSTERDAM
à         GENEVA            Compagnie:      KL  Classe :        V
à         AMSTERDAM         Compagnie:      KL  Classe :        G
N° du billet :  05723262749724          Passager :      FAUCOMPRET/REMI MR",AIR FRANCE              PARAY-VIEILLE-P,"AIR FRANCE KLM
FINANCIAL SHARED SERVICE CENTER
""5, AVENUE JAMES CLERCK MAXWELL""
""LA BARIGOUDE, TOULOUSE""",,31100,FRANCE,'AT242840073000010057651'
10/09/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"2,08",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242840029000010218237'
10/07/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,00",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242820029000010223124'
10/06/2024,AMAZON EU SARL          GUYANCOURT,"16,34",,AMAZON EU SARL          GUYANCOURT,"67 BOULEVARD DU G»N»RAL LECLERC
CLICHY",,92110,FRANCE,'AT242810026000010204225'
09/29/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,95",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242740031000010264514'
09/29/2024,WEBLOYALTY SARL         NYON,"18,00",,WEBLOYALTY SARL         NYON,"23 ROUTE DE CRASSIER
BUSINESS PARK TERRE BONNE
BATIMENT A3
EYSINS",,1262,SWITZERLAND,'AT242730033000010253261'
09/26/2024,KRYTERION WEBASSESSOR   PHOENIX,"73,53","Foreign Spend Amount: 79.86 Dollar américain Commission Amount: 2,00 Currency Exchange Rate: 1.1164",KRYTERION WEBASSESSOR   PHOENIX,"7776 S POINTE PKWY W
STE 250
PHOENIX
AZ",,85044-5428,UNITED STATES,'AT242710022000010232066'
09/25/2024,KRYTERION WEBASSESSOR   PHOENIX,"73,88","Foreign Spend Amount: 79.86 Dollar américain Commission Amount: 2,01 Currency Exchange Rate: 1.1111",KRYTERION WEBASSESSOR   PHOENIX,"7776 S POINTE PKWY W
STE 250
PHOENIX
AZ",,85044-5428,UNITED STATES,'AT242700030000010231289'
09/25/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,00",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242700030000010226619'
09/24/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,"-207,70",,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,,,,,'10000000010921999686500'
09/23/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,00",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242680030000010204465'
09/22/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"29,69",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242670033000010162649'
09/20/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"51,98",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242650031000010208380'
09/20/2024,VERSEMENT / COTISATION,"15,00",,VERSEMENT / COTISATION,,,,,'10000000011120999719210'
09/17/2024,SNCF EUROPE FRANCE SNCF PARIS,"19,10",,SNCF EUROPE FRANCE SNCF PARIS,"8 RUE DE LONDRES
PARIS",,75009,FRANCE,'AT242620034000010209879'
09/15/2024,TRANSDEV RAIL RHONE TRA MEYZIEU,"15,20",,TRANSDEV RAIL RHONE TRA MEYZIEU,"190 RUE ANTOINE BECQUEREL
MEYZIEU",,69330,FRANCE,'AT242600031000010189123'
09/10/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,00",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242550024000010210596'
09/05/2024,AMAZONRETAIL*XN7W56FW5  WWW.AMAZON.NL,"4,99",,AMAZONRETAIL*XN7W56FW5  WWW.AMAZON.NL,"38 AVENUE JOHN F KENNEDY
LUXEMBOURG",,L-1855,LUXEMBOURG,'AT242500033000010261702'
09/05/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,00",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242500033000010267777'
09/02/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,00",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242470045000010230657'
08/30/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"43,84",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242440027000010226671'
08/29/2024,WEBLOYALTY SARL         NYON,"18,00",,WEBLOYALTY SARL         NYON,"23 ROUTE DE CRASSIER
BUSINESS PARK TERRE BONNE
BATIMENT A3
EYSINS",,1262,SWITZERLAND,'AT242420034000010206001'
08/26/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,"-616,34",,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,,,,,'10000000010822999799420'
08/25/2024,AIR FRANCE COMPTOIR AIR FRANCE,"43,57","Trajet :    de        NICE
à         PARIS CHARLES DE GCompagnie:      AF  Classe :        E
à         AMSTERDAM         Compagnie:      AF  Classe :        E
N° du billet :  05723238164803          Passager :      FAUCOMPRET/REMI MR",AIR FRANCE COMPTOIR AIR FRANCE,"EURO SUBMISSIONS
FRANCE",,00000,FRANCE,'AT242390032000010171504'
08/20/2024,VERSEMENT / COTISATION,"15,00",,VERSEMENT / COTISATION,,,,,'10000000011120999719200'
08/17/2024,FOOD TICKET B.V.*GANGNA HUIZEN,"17,95",,FOOD TICKET B.V.*GANGNA HUIZEN,"BAANBERGENWEG
HUIZEN",,1271 TW,NETHERLANDS,'AT242310042000010235724'
08/14/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"7,78",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242280026000010187411'
08/13/2024,EASYJET*EASYJET K7X63ZT LUTON,"88,99","Trajet :    de        MADRID BARAJAS APT
à         LYON SATOLAS APT  Compagnie:      U2  Classe :        Y
N° du billet :  K7X63ZT                 Passager :      REMI FAUCOMPRET",EASYJET*EASYJET K7X63ZT LUTON,"SUBMISSIONS EUR
NETHERLANDS",,0000 AA,NETHERLANDS,'AT242270030000010200301'
08/13/2024,EASYJET*EASYJET K7X653G LUTON,"21,57","Trajet :    de        GENEVA
à         AMSTERDAM         Compagnie:      U2  Classe :        Y
N° du billet :  K7X653G                 Passager :      REMI FAUCOMPRET",EASYJET*EASYJET K7X653G LUTON,"SUBMISSIONS EUR
NETHERLANDS",,0000 AA,NETHERLANDS,'AT242270030000010200289'
08/13/2024,EDREAMS 022268924       BARCELONA,"124,97",,EDREAMS 022268924       BARCELONA,"CALLE CONDE DE PENALVER
5 1 EXT IZQ
MADRID",,28006,SPAIN,'AT242270030000010188621'
08/11/2024,EASYJET*EASYJET K7WSNH6 LUTON,"109,04","Trajet :    de        AMSTERDAM
à         NICE              Compagnie:      U2  Classe :        Y
N° du billet :  K7WSNH6                 Passager :      REMI FAUCOMPRET",EASYJET*EASYJET K7WSNH6 LUTON,"SUBMISSIONS EUR
NETHERLANDS",,0000 AA,NETHERLANDS,'AT242240033000010185610'
08/05/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,45",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242190029000010205218'
07/30/2024,FNAC DIRECT FNAC DIRECT IVRY SUR SEINE,"0,02",,FNAC DIRECT FNAC DIRECT IVRY SUR SEINE,"9 RUE DES BATEAUX LAVOIRS
IVRY SUR SEINE",,94200,FRANCE,'AT242130033000010191985'
07/29/2024,WEBLOYALTY SARL         NYON,"18,00",,WEBLOYALTY SARL         NYON,"23 ROUTE DE CRASSIER
BUSINESS PARK TERRE BONNE
BATIMENT A3
EYSINS",,1262,SWITZERLAND,'AT242110024000010184928'
07/25/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"31,48",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT242080031000010213424'
07/24/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,"-371,44",,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,,,,,'10000000010721999579930'
07/21/2024,DOHOP*DOHOP             REYKJAVIK,"4,72",,DOHOP*DOHOP             REYKJAVIK,"NOATUNI
REYKJAVIK",,105,ICELAND,'AT242040034000010191947'
07/21/2024,EASYJET*EASYJET K7SPZ6R LUTON,"61,37","Trajet :    de        LYON SATOLAS APT
à         LONDON LUTON APT  Compagnie:      U2  Classe :        Y
N° du billet :  K7SPZ6R                 Passager :      REMI FAUCOMPRET",EASYJET*EASYJET K7SPZ6R LUTON,"SUBMISSIONS EUR
NETHERLANDS",,0000 AA,NETHERLANDS,'AT242040034000010182114'
07/21/2024,EASYJET*EASYJET K7SPZ6X LUTON,"99,00","Trajet :    de        LONDON LUTON APT
à         AMSTERDAM         Compagnie:      U2  Classe :        Y
N° du billet :  K7SPZ6X                 Passager :      REMI FAUCOMPRET
Foreign Spend Amount: 80.99 livre sterling Commission Amount: 2,70 Currency Exchange Rate: 0.841",EASYJET*EASYJET K7SPZ6X LUTON,"HANGAR 89
LONDON LUTON AIRPORT
LUTON",,LU2 9PF,UNITED KINGDOM,'AT242040034000010181955'
07/20/2024,VERSEMENT / COTISATION,"15,00",,VERSEMENT / COTISATION,,,,,'10000000011120999719190'
07/17/2024,AMAZON EU SARL          GUYANCOURT,"-19,99",,AMAZON EU SARL          GUYANCOURT,"67 BOULEVARD DU G»N»RAL LECLERC
CLICHY",,92110,FRANCE,'AT242000023000010237411'
07/17/2024,LINVOSGES LINVOSGES     GERARDMER,"-53,40",,LINVOSGES LINVOSGES     GERARDMER,"PLACE DES DEPORTES
GERARDMER",,88400,FRANCE,'AT242000023000010236022'
07/12/2024,AMAZON EU SARL          GUYANCOURT,"19,99",,AMAZON EU SARL          GUYANCOURT,"67 BOULEVARD DU G»N»RAL LECLERC
CLICHY",,92110,FRANCE,'AT241950031000010218187'
07/08/2024,EASYJET*EASYJET K7QQ1WJ LUTON,"245,54","Trajet :    de        AMSTERDAM
à         NICE              Compagnie:      U2  Classe :        Y
N° du billet :  K7QQ1WJ                 Passager :      REMI FAUCOMPRET",EASYJET*EASYJET K7QQ1WJ LUTON,"SUBMISSIONS EUR
NETHERLANDS",,0000 AA,NETHERLANDS,'AT241910034000010206113'
07/04/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,45",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT241870023000010213082'
07/03/2024,FOOD TICKET B.V.*GANGNA HUIZEN,"17,95",,FOOD TICKET B.V.*GANGNA HUIZEN,"BAANBERGENWEG
HUIZEN",,1271 TW,NETHERLANDS,'AT241860032000010231290'
07/03/2024,WWW.TERRAVISION.EU      DUBLIN 2,"6,00",,WWW.TERRAVISION.EU      DUBLIN 2,"77 CAMDEN STREET LOWER
DUBLIN 2",,D02,IRELAND,'AT241850022000010212546'
06/29/2024,WEBLOYALTY SARL         NYON,"18,00",,WEBLOYALTY SARL         NYON,"23 ROUTE DE CRASSIER
BUSINESS PARK TERRE BONNE
BATIMENT A3
EYSINS",,1262,SWITZERLAND,'AT241810030000010238459'
06/27/2024,AUTO EUROPE             MUNICH,"85,90",,AUTO EUROPE             MUNICH,"""LANDSBERGER STR 155, HAUS 1""
MUNCHEN",,80687,GERMANY,'AT241830033000010217224'
06/24/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,"-490,68",,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,,,,,'10000000010621999696730'
06/24/2024,WWW.TERRAVISION.EU      DUBLIN 2,"6,00",,WWW.TERRAVISION.EU      DUBLIN 2,"77 CAMDEN STREET LOWER
DUBLIN 2",,D02,IRELAND,'AT241760035000010167512'
06/23/2024,ENTERPRISE RENT-A-CAR N ZANDVOORT,"-0,01",,ENTERPRISE RENT-A-CAR N ZANDVOORT,"SHARING MATTERS B.V.
ZANDVOORTSELAAN 28
ZANDVOORT",,2042 XA,NETHERLANDS,'AT241760035000010175533'
06/23/2024,ENTERPRISE RENT-A-CAR N ZANDVOORT,"0,01",,ENTERPRISE RENT-A-CAR N ZANDVOORT,"SHARING MATTERS B.V.
ZANDVOORTSELAAN 28
ZANDVOORT",,2042 XA,NETHERLANDS,'AT241760035000010175532'
06/20/2024,FOOD TICKET B.V.*GANGNA HUIZEN,"14,00",,FOOD TICKET B.V.*GANGNA HUIZEN,"BAANBERGENWEG
HUIZEN",,1271 TW,NETHERLANDS,'AT241730027000010225945'
06/20/2024,VERSEMENT / COTISATION,"15,00",,VERSEMENT / COTISATION,,,,,'10000000011120999719180'
06/19/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,45",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT241720030000010200573'
06/15/2024,economybookings.com Rig Riga,"37,27",,economybookings.com Rig Riga,"""ZIEMELU 4, LIDOSTA RIGA""
MARUPE",,1053,LATVIA,'AT241680028000010279670'
06/12/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"17,53",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT241650023000010201104'
06/09/2024,THUISBEZORGD.NL*THUISBE ENSCHEDE,"16,45",,THUISBEZORGD.NL*THUISBE ENSCHEDE,"PIET HEINKADE
ENSCHEDE",,1019GM,NETHERLANDS,'AT241620030000010182654'
06/08/2024,EASYJET*EASYJET K7KSDN9 LUTON,"238,03","Trajet :    de        AMSTERDAM
à         PALERMO           Compagnie:      U2  Classe :        Y
à         AMSTERDAM         Compagnie:      U2  Classe :        Y
N° du billet :  K7KSDN9                 Passager :      REMI FAUCOMPRET",EASYJET*EASYJET K7KSDN9 LUTON,"SUBMISSIONS EUR
NETHERLANDS",,0000 AA,NETHERLANDS,'AT241600028000010217093'
06/06/2024,LINVOSGES LINVOSGES     GERARDMER,"53,40",,LINVOSGES LINVOSGES     GERARDMER,"PLACE DES DEPORTES
GERARDMER",,88400,FRANCE,'AT241580031000010205172'
05/29/2024,FOOD TICKET B.V.*GANGNA HUIZEN,"13,55",,FOOD TICKET B.V.*GANGNA HUIZEN,"BAANBERGENWEG
HUIZEN",,1271 TW,NETHERLANDS,'AT241510027000010244317'
05/29/2024,WEBLOYALTY SARL         NYON,"18,00",,WEBLOYALTY SARL         NYON,"23 ROUTE DE CRASSIER
BUSINESS PARK TERRE BONNE
BATIMENT A3
EYSINS",,1262,SWITZERLAND,'AT241500028000010219844'
