Date,Description,Montant,Détails,Apparait sur votre relevé de compte sous,Adresse,Ville,Code postal,Pays,Référence
02/27/2022,MEMMO BALEEIRA HOTEL VILA DO BISPO,51.50,,"27 fév 27 fév MEMMO BALEEIRA HOTEL VILA DO BISPO 51,50",,,,,
03/24/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-70.49,,"24mars 24mars PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 70,49",,,,,
03/26/2022,KRYTERION WEBASSESSOR,37.38,,"26mars 26mars KRYTERION WEBASSESSOR PHOENIX 37,38",,PHOENIX,,,
04/04/2022,KRYTERION WEBASSESSOR,74.45,,"4 avr 4 avr KRYTERION WEBASSESSOR PHOENIX 74,45",,PHOENIX,,,
04/05/2022,AIR FRANCE COMPTOIR AIR FRANCE,40.49,,"5 avr 6 avr AIR FRANCE COMPTOIR AIR FRANCE 40,49",,,,,
04/05/2022,FOOD TICKET B.V.*GANGNA,9.95,,"5 avr 5 avr FOOD TICKET B.V.*GANGNA HUIZEN 9,95",,HUIZEN,,,
04/09/2022,AIR FRANCE COMPTOIR AIR FRANCE,40.49,,"9 avr 10 avr AIR FRANCE COMPTOIR AIR FRANCE 40,49",,,,,
04/09/2022,AIR FRANCE COMPTOIR AIR FRANCE,-40.49,,"9 avr 10 avr AIR FRANCE COMPTOIR AIR FRANCE 40,49",,,,,
04/10/2022,RYANAIR LTD AIRLINE,9.73,,"10 avr 11 avr RYANAIR LTD AIRLINE DUBLIN 9,73",,DUBLIN,,,
04/10/2022,EASYJET*EASYJET K3C8WQ3,26.98,,"10 avr 10 avr EASYJET*EASYJET K3C8WQ3 LUTON 26,98",,LUTON,,,
04/25/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-198.98,,"25avr 25avr PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 198,98",,,,,
04/25/2022,EXPEDIA 72292766825469,81.01,,"25avr 25avr EXPEDIA 72292766825469 EXPEDIA.FR 81,01",,EXPEDIA.FR,,,
05/02/2022,AIR FRANCE COMPTOIR AIR FRANCE,26.66,,"2 mai 3 mai AIR FRANCE COMPTOIR AIR FRANCE 26,66",,,,,
05/05/2022,AIR FRANCE,183.18,,"5 mai 6 mai AIR FRANCE PARAY-VIEILLE-P 183,18",,PARAY-VIEILLE-P,,,
05/13/2022,EXPEDIA 72303821378673,187.59,,"13 mai 13 mai EXPEDIA 72303821378673 EXPEDIA.FR 187,59",,EXPEDIA.FR,,,
05/14/2022,AIR FRANCE,78.00,,"14 mai 15 mai AIR FRANCE PARAY-VIEILLE-P 78,00",,PARAY-VIEILLE-P,,,
05/24/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-556.44,,"24mai 24mai PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 556,44",,,,,
05/22/2022,AIR FRANCE COMPTOIR AIR FRANCE,67.15,,"22 mai 23 mai AIR FRANCE COMPTOIR AIR FRANCE 67,15",,,,,
05/23/2022,AIR FRANCE COMPTOIR AIR FRANCE,-67.15,,"23 mai 24mai AIR FRANCE COMPTOIR AIR FRANCE 67,15",,,,,
05/23/2022,AIR FRANCE COMPTOIR AIR FRANCE,40.49,,"23 mai 24mai AIR FRANCE COMPTOIR AIR FRANCE 40,49",,,,,
05/24/2022,AIR FRANCE COMPTOIR AIR FRANCE,26.66,,"24mai 25mai AIR FRANCE COMPTOIR AIR FRANCE 26,66",,,,,
05/29/2022,AIR FRANCE,27.48,,"29mai 30 mai AIR FRANCE NEW YORK CITY 27,48",,NEW YORK CITY,,,
05/30/2022,AIR FRANCE COMPTOIR AIR FRANCE,-26.66,,"30 mai 1 juin AIR FRANCE COMPTOIR AIR FRANCE 26,66",,,,,
05/31/2022,FnacDirect,18.53,,"31 mai 31 mai FnacDirect Ivry sur Seine 18,53",,Ivry sur Seine,,,
06/01/2022,AIR FRANCE,27.70,,"1 juin 2 juin AIR FRANCE NEW YORK CITY 27,70",,NEW YORK CITY,,,
06/01/2022,AIR FRANCE,-27.55,,"1 juin 3 juin AIR FRANCE NEW YORK 27,55",,NEW YORK,,,
06/04/2022,AIR FRANCE COMPTOIR AIR FRANCE,40.49,,"4 juin 5 juin AIR FRANCE COMPTOIR AIR FRANCE 40,49",,,,,
06/24/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-127.14,,"24juin 24juin PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 127,14",,,,,
06/29/2022,WLY*REMISEREDUC.FR 0800908444,18.00,,"29juin 30 juin WLY*REMISEREDUC.FR 0800908444 18,00",,,,,
07/07/2022,FnacDirect,-18.53,,"7 juil 7 juil FnacDirect Ivry sur Seine 18,53",,Ivry sur Seine,,,
07/12/2022,AIR FRANCE COMPTOIR AIR FRANCE,26.66,,"12 juil 13 juil AIR FRANCE COMPTOIR AIR FRANCE 26,66",,,,,
07/13/2022,VIEILLE CANAILLE,85.00,,"13 juil 14 juil VIEILLE CANAILLE LYON 85,00",,LYON,,,
07/15/2022,AIR FRANCE COMPTOIR AIR FRANCE,-26.66,,"15 juil 16 juil AIR FRANCE COMPTOIR AIR FRANCE 26,66",,,,,
07/16/2022,FnacDirect,89.99,,"16 juil 16 juil FnacDirect Ivry sur Seine 89,99",,Ivry sur Seine,,,
07/18/2022,FnacDirect,19.99,,"18 juil 18 juil FnacDirect Ivry sur Seine 19,99",,Ivry sur Seine,,,
07/25/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-194.45,,"25juil 25juil PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 194,45",,,,,
07/21/2022,AIR FRANCE,584.36,,"21 juil 22 juil AIR FRANCE PARAY-VIEILLE-P 584,36",,PARAY-VIEILLE-P,,,
07/21/2022,Auto Europe,396.07,,"21 juil 25juil Auto Europe Munich 396,07",,Munich,,,
07/22/2022,AIR CALEDONIE INTERNATI,379.87,,"22 juil 22 juil AIR CALEDONIE INTERNATI NOUMEA 379,87",,NOUMEA,,,
07/22/2022,HOTELSCOM9174686662313 FR.HOTELS.COM,159.58,,"22 juil 22 juil HOTELSCOM9174686662313 FR.HOTELS.COM 159,58",,,,,
07/23/2022,SHERATON DEVA SHERATON DEVA,230.90,,"23 juil 24juil SHERATON DEVA SHERATON DEVA 230,90",,,,,
07/25/2022,FnacDirect,229.99,,"25juil 25juil FnacDirect Ivry sur Seine 229,99",,Ivry sur Seine,,,
07/27/2022,BOOKING.COM B.V.,586.92,,"27 juil 27 juil BOOKING.COM B.V. AMSTERDAM 586,92",,AMSTERDAM,,,
07/29/2022,WLY*REMISEREDUC.FR 0800908444,18.00,,"29juil 30 juil WLY*REMISEREDUC.FR 0800908444 18,00",,,,,
07/31/2022,AIR FRANCE COMPTOIR AIR FRANCE,32.00,,"31 juil 1 août AIR FRANCE COMPTOIR AIR FRANCE 32,00",,,,,
08/06/2022,AIR FRANCE COMPTOIR AIR FRANCE,40.49,,"6 août 7 août AIR FRANCE COMPTOIR AIR FRANCE 40,49",,,,,
08/13/2022,AIR FRANCE COMPTOIR AIR FRANCE,40.49,,"13 août 14 août AIR FRANCE COMPTOIR AIR FRANCE 40,49",,,,,
08/14/2022,AIR FRANCE COMPTOIR AIR FRANCE,40.49,,"14 août 15 août AIR FRANCE COMPTOIR AIR FRANCE 40,49",,,,,
08/15/2022,EL CORTE INGLES-INTERNE,49.00,,"15 août 15 août EL CORTE INGLES-INTERNE MADRID 49,00",,MADRID,,,
08/24/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-2788.16,,"24août 24août PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 2 788,16",,,,,
08/21/2022,AIR FRANCE COMPTOIR AIR FRANCE,26.66,,"21 août 22 août AIR FRANCE COMPTOIR AIR FRANCE 26,66",,,,,
08/21/2022,AIR FRANCE COMPTOIR AIR FRANCE,40.49,,"21 août 22 août AIR FRANCE COMPTOIR AIR FRANCE 40,49",,,,,
08/23/2022,SNCF MOBILE RESTE DU MO,19.50,,"23 août 24août SNCF MOBILE RESTE DU MO PARIS 19,50",,PARIS,,,
08/28/2022,SNCF EUROPE FRANCE SNCF,25.00,,"28août 28août SNCF EUROPE FRANCE SNCF PARIS 25,00",,PARIS,,,
08/29/2022,WLY*REMISEREDUC.FR,18.00,,"29août 30 août WLY*REMISEREDUC.FR NYON 18,00",,NYON,,,
09/03/2022,AIR FRANCE COMPTOIR AIR FRANCE,26.66,,"3 sept 4 sept AIR FRANCE COMPTOIR AIR FRANCE 26,66",,,,,
09/03/2022,DARTY.COM 907040 SITE I,540.03,,"3 sept 3 sept DARTY.COM 907040 SITE I BONDY 540,03",,BONDY,,,
09/12/2022,BOUYGUES TELECOM ACQUIS,10.00,,"12 sept 12 sept BOUYGUES TELECOM ACQUIS MEUDON 10,00",,MEUDON,,,
09/26/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-706.34,,"26sept 26sept PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 706,34",,,,,
09/22/2022,KRYTERION WEBASSESSOR,249.86,,"22 sept 22 sept KRYTERION WEBASSESSOR PHOENIX 249,86",,PHOENIX,,,
09/28/2022,*ID986562094/OCV3KF4XR,69.99,,"28sept 28sept *ID986562094/OCV3KF4XR IVRY SUR SEINE 69,99",,IVRY SUR SEINE,,,
09/29/2022,WLY*REMISEREDUC.FR,18.00,,"29sept 30 sept WLY*REMISEREDUC.FR NYON 18,00",,NYON,,,
10/01/2022,SNCF EUROPE FRANCE SNCF,130.00,,"1 oct 1 oct SNCF EUROPE FRANCE SNCF PARIS 130,00",,PARIS,,,
10/01/2022,HOTELSCOM7240152526526 FR.HOTELS.COM,109.79,,"1 oct 1 oct HOTELSCOM7240152526526 FR.HOTELS.COM 109,79",,,,,
10/24/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-577.64,,"24oct 24oct PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 577,64",,,,,
10/24/2022,HILTON NOUMEA HILTON,171.25,,"24oct 25oct HILTON NOUMEA HILTON NOUMEA 171,25",,NOUMEA,,,
10/29/2022,REMISEREDUC.FR,18.00,,"29oct 30 oct REMISEREDUC.FR NYON 18,00",,NYON,,,
11/01/2022,AIR FRANCE COMPTOIR AIR FRANCE,26.66,,"1 nov 3 nov AIR FRANCE COMPTOIR AIR FRANCE 26,66",,,,,
11/09/2022,AIR FRANCE COMPTOIR AIR FRANCE,40.49,,"9 nov 10 nov AIR FRANCE COMPTOIR AIR FRANCE 40,49",,,,,
11/14/2022,WWW.CDISCOUNT.COM/ATOS BORDEAUX CEDEX,23.90,,"14 nov 14 nov WWW.CDISCOUNT.COM/ATOS BORDEAUX CEDEX 23,90",,,,,
11/16/2022,"EXAMTOPICS FABULIVE UNIT B, 17/F.,",29.76,,"16 nov 16 nov EXAMTOPICS FABULIVE UNIT B, 17/F., 29,76",,,,,
11/18/2022,WWW.CDISCOUNT.COM/ATOS BORDEAUX CEDEX,14.99,,"18 nov 18 nov WWW.CDISCOUNT.COM/ATOS BORDEAUX CEDEX 14,99",,,,,
11/20/2022,VERSEMENT / COTISATION,15.00,,"20nov 20nov VERSEMENT / COTISATION 15,00",,,,,
11/24/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-340.05,,"24nov 24nov PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 340,05",,,,,
11/21/2022,VUE TESTING 800-511-3478,108.90,,"21 nov 21 nov VUE TESTING 800-511-3478 108,90",,,,,
11/24/2022,VANMOOF BV,1848.00,,"24nov 24nov VANMOOF BV AMSTERDAM 1 848,00",,AMSTERDAM,,,
11/28/2022,AMAZON PAYMENT EUROPE,59.98,,"28nov 28nov AMAZON PAYMENT EUROPE LUXEMBOURG 59,98",,LUXEMBOURG,,,
11/29/2022,AMAZON EU SARL,13.29,,"29nov 29nov AMAZON EU SARL GUYANCOURT 13,29",,GUYANCOURT,,,
11/29/2022,REMISEREDUC.FR,18.00,,"29nov 30 nov REMISEREDUC.FR NYON 18,00",,NYON,,,
12/13/2022,AMAZON EU SARL,19.49,,"13 déc 13 déc AMAZON EU SARL GUYANCOURT 19,49",,GUYANCOURT,,,
12/20/2022,VERSEMENT / COTISATION,15.00,,"20déc 20déc VERSEMENT / COTISATION 15,00",,,,,
12/26/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-2082.66,,"26déc 26déc PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 2 082,66",,,,,
12/21/2022,*ID1025290626/OBZAEQPZ,120.96,,"21 déc 21 déc *ID1025290626/OBZAEQPZ IVRY SUR SEINE 120,96",,IVRY SUR SEINE,,,
12/29/2022,REMISEREDUC.FR,18.00,,"29déc 30 déc REMISEREDUC.FR NYON 18,00",,NYON,,,
01/07/2023,IBERIA.COM U PARIS FR,80.66,,"7 jan 9 jan IBERIA.COM U PARIS FR 80,66",,,,,
01/09/2023,AMAZON EU SARL,23.02,,"9 jan 9 jan AMAZON EU SARL GUYANCOURT 23,02",,GUYANCOURT,,,
01/09/2023,AIR FRANCE COMPTOIR AIR FRANCE,9.46,,"9 jan 10 jan AIR FRANCE COMPTOIR AIR FRANCE 9,46",,,,,
01/20/2023,VERSEMENT / COTISATION,15.00,,"20jan 20jan VERSEMENT / COTISATION 15,00",,,,,
01/24/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-267.10,,"24jan 24jan PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 267,10",,,,,
01/21/2023,RECORD RENT A CAR CASTELLÓN,19.22,,"21 jan 23 jan RECORD RENT A CAR CASTELLÓN 19,22",,,,,
01/29/2023,REMISEREDUC.FR,18.00,,"29jan 30 jan REMISEREDUC.FR NYON 18,00",,NYON,,,
02/01/2023,FOOD TICKET B.V.*GANGNA,12.95,,"1 fév 1 fév FOOD TICKET B.V.*GANGNA HUIZEN 12,95",,HUIZEN,,,
02/09/2023,FOOD TICKET B.V.*GANGNA,12.95,,"9 fév 9 fév FOOD TICKET B.V.*GANGNA HUIZEN 12,95",,HUIZEN,,,
02/16/2023,THUISBEZORGD.NL*THUISBE,19.95,,"16 fév 16 fév THUISBEZORGD.NL*THUISBE ENSCHEDE 19,95",,ENSCHEDE,,,
02/20/2023,VERSEMENT / COTISATION,15.00,,"20fév 20fév VERSEMENT / COTISATION 15,00",,,,,
02/24/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-98.07,,"24fév 24fév PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 98,07",,,,,
02/22/2023,ST PANCRAS RENAISSANCE,807.73,,"22 fév 22 fév ST PANCRAS RENAISSANCE LONDON 807,73",,LONDON,,,
02/25/2023,ST PANCRAS RENAISSANCE,490.16,,"25fév 25fév ST PANCRAS RENAISSANCE LONDON 490,16",,LONDON,,,
02/28/2023,REMISEREDUC.FR,18.00,,"28fév 1 mars REMISEREDUC.FR NYON 18,00",,NYON,,,
03/20/2023,VERSEMENT / COTISATION,15.00,,"20mars 20mars VERSEMENT / COTISATION 15,00",,,,,
03/24/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-1330.89,,"24mars 24mars PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 1 330,89",,,,,
03/27/2023,AIR FRANCE COMPTOIR AIR FRANCE,64.05,,"27 mars 28mars AIR FRANCE COMPTOIR AIR FRANCE 64,05",,,,,
03/29/2023,REMISEREDUC.FR,18.00,,"29mars 30 mars REMISEREDUC.FR NYON 18,00",,NYON,,,
04/10/2023,AIR FRANCE COMPTOIR AIR FRANCE,28.31,,"10 avr 12 avr AIR FRANCE COMPTOIR AIR FRANCE 28,31",,,,,
04/12/2023,GAUMONT CONVENTION _223,27.20,,"12 avr 13 avr GAUMONT CONVENTION _223 PARIS 27,20",,PARIS,,,
04/20/2023,VERSEMENT / COTISATION,15.00,,"20avr 20avr VERSEMENT / COTISATION 15,00",,,,,
04/24/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-152.56,,"24avr 24avr PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 152,56",,,,,
04/21/2023,THUISBEZORGD.NL*THUISBE,26.15,,"21 avr 21 avr THUISBEZORGD.NL*THUISBE ENSCHEDE 26,15",,ENSCHEDE,,,
04/24/2023,AIR FRANCE,711.32,,"24avr 25avr AIR FRANCE PARAY-VIEILLE-P 711,32",,PARAY-VIEILLE-P,,,
04/27/2023,AIR FRANCE COMPTOIR AIR FRANCE,64.05,,"27 avr 28avr AIR FRANCE COMPTOIR AIR FRANCE 64,05",,,,,
04/28/2023,AUX TROIS ARCHERS,795.00,,"28avr 28avr AUX TROIS ARCHERS LYON 795,00",,LYON,,,
04/29/2023,AUX TROIS ARCHERS,140.00,,"29avr 29avr AUX TROIS ARCHERS LYON 140,00",,LYON,,,
04/29/2023,REMISEREDUC.FR,18.00,,"29avr 30 avr REMISEREDUC.FR NYON 18,00",,NYON,,,
04/30/2023,AIR FRANCE COMPTOIR AIR FRANCE,28.31,,"30 avr 1 mai AIR FRANCE COMPTOIR AIR FRANCE 28,31",,,,,
04/30/2023,AIR FRANCE COMPTOIR AIR FRANCE,28.31,,"30 avr 1 mai AIR FRANCE COMPTOIR AIR FRANCE 28,31",,,,,
04/30/2023,AIR FRANCE COMPTOIR AIR FRANCE,25.72,,"30 avr 1 mai AIR FRANCE COMPTOIR AIR FRANCE 25,72",,,,,
04/30/2023,AIR FRANCE COMPTOIR AIR FRANCE,64.05,,"30 avr 1 mai AIR FRANCE COMPTOIR AIR FRANCE 64,05",,,,,
04/30/2023,AIR FRANCE COMPTOIR AIR FRANCE,64.05,,"30 avr 1 mai AIR FRANCE COMPTOIR AIR FRANCE 64,05",,,,,
05/06/2023,TRIP.COM,376.84,,"6 mai 6 mai TRIP.COM INTERNET 376,84",,INTERNET,,,
05/06/2023,"THAI AIRASIA CO., LTD SELANGOR,",63.55,,"6 mai 6 mai THAI AIRASIA CO., LTD SELANGOR, 63,55",,,,,
05/17/2023,DELL SOUTHERN EUROPE DE,1191.11,,"17 mai 17 mai DELL SOUTHERN EUROPE DE MONTPELLIER 1 191,11",,MONTPELLIER,,,
05/18/2023,DELL COMPUTER,-100.00,,"18 mai 18 mai DELL COMPUTER 100,00",,,,,
05/20/2023,VERSEMENT / COTISATION,15.00,,"20mai 20mai VERSEMENT / COTISATION 15,00",,,,,
05/24/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-3511.46,,"24mai 24mai PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 3 511,46",,,,,
05/23/2023,TRIP.COM,51.90,,"23 mai 24mai TRIP.COM INTERNET 51,90",,INTERNET,,,
05/24/2023,TRIP.COM,49.80,,"24mai 24mai TRIP.COM INTERNET 49,80",,INTERNET,,,
05/24/2023,*ID1082464309/O96CTUFG,0.99,,"24mai 24mai *ID1082464309/O96CTUFG IVRY SUR SEINE 0,99",,IVRY SUR SEINE,,,
05/25/2023,TRIP.COM,68.82,,"25mai 25mai TRIP.COM INTERNET 68,82",,INTERNET,,,
05/25/2023,TRIP.COM,212.49,,"25mai 25mai TRIP.COM INTERNET 212,49",,INTERNET,,,
05/25/2023,AGODA.COM*AGODA.COM DRE,167.02,,"25mai 28mai AGODA.COM*AGODA.COM DRE LONDON 167,02",,LONDON,,,
05/28/2023,TRIP.COM,226.83,,"28mai 28mai TRIP.COM INTERNET 226,83",,INTERNET,,,
05/29/2023,WEBLOYALTY SARL,18.00,,"29mai 29mai WEBLOYALTY SARL NYON 18,00",,NYON,,,
06/08/2023,PREPFULLY,114.69,,"8 juin 8 juin PREPFULLY AMSTERDAM 114,69",,AMSTERDAM,,,
06/13/2023,THUISBEZORGD.NL*THUISBE,19.95,,"13 juin 13 juin THUISBEZORGD.NL*THUISBE ENSCHEDE 19,95",,ENSCHEDE,,,
06/15/2023,AIR FRANCE COMPTOIR AIR FRANCE,25.72,,"15 juin 19 juin AIR FRANCE COMPTOIR AIR FRANCE 25,72",,,,,
06/15/2023,AIR FRANCE COMPTOIR AIR FRANCE,50.00,,"15 juin 19 juin AIR FRANCE COMPTOIR AIR FRANCE 50,00",,,,,
06/15/2023,AIR FRANCE COMPTOIR AIR FRANCE,50.00,,"15 juin 19 juin AIR FRANCE COMPTOIR AIR FRANCE 50,00",,,,,
06/15/2023,AIR FRANCE COMPTOIR AIR FRANCE,-28.31,,"15 juin 19 juin AIR FRANCE COMPTOIR AIR FRANCE 28,31",,,,,
06/15/2023,AIR FRANCE COMPTOIR AIR FRANCE,-25.72,,"15 juin 19 juin AIR FRANCE COMPTOIR AIR FRANCE 25,72",,,,,
06/15/2023,AIR FRANCE COMPTOIR AIR FRANCE,-64.05,,"15 juin 19 juin AIR FRANCE COMPTOIR AIR FRANCE 64,05",,,,,
06/15/2023,AIR FRANCE COMPTOIR AIR FRANCE,-64.05,,"15 juin 19 juin AIR FRANCE COMPTOIR AIR FRANCE 64,05",,,,,
06/20/2023,VERSEMENT / COTISATION,15.00,,"20juin 20juin VERSEMENT / COTISATION 15,00",,,,,
06/26/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-889.08,,"26juin 26juin PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 889,08",,,,,
06/29/2023,WEBLOYALTY SARL,18.00,,"29juin 29juin WEBLOYALTY SARL NYON 18,00",,NYON,,,
07/05/2023,AIR FRANCE COMPTOIR AIR FRANCE,64.05,,"5 juil 6 juil AIR FRANCE COMPTOIR AIR FRANCE 64,05",,,,,
07/08/2023,AIR FRANCE COMPTOIR AIR FRANCE,64.05,,"8 juil 10 juil AIR FRANCE COMPTOIR AIR FRANCE 64,05",,,,,
07/11/2023,AIR FRANCE COMPTOIR AIR FRANCE,50.00,,"11 juil 13 juil AIR FRANCE COMPTOIR AIR FRANCE 50,00",,,,,
07/11/2023,AIR FRANCE COMPTOIR AIR FRANCE,-64.05,,"11 juil 13 juil AIR FRANCE COMPTOIR AIR FRANCE 64,05",,,,,
07/20/2023,VERSEMENT / COTISATION,15.00,,"20juil 20juil VERSEMENT / COTISATION 15,00",,,,,
07/24/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-147.05,,"24juil 24juil PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 147,05",,,,,
07/29/2023,WEBLOYALTY SARL,18.00,,"29juil 29juil WEBLOYALTY SARL NYON 18,00",,NYON,,,
08/10/2023,AIR FRANCE,336.36,,"10 août 11 août AIR FRANCE PARAY-VIEILLE-P 336,36",,PARAY-VIEILLE-P,,,
08/20/2023,VERSEMENT / COTISATION,15.00,,"20août 20août VERSEMENT / COTISATION 15,00",,,,,
08/24/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-369.36,,"24août 24août PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 369,36",,,,,
08/22/2023,AIR FRANCE,862.10,,"22 août 23 août AIR FRANCE PARAY-VIEILLE-P 862,10",,PARAY-VIEILLE-P,,,
08/24/2023,THE TRAIN SUITES SAN JOSE,206.28,,"24août 26août THE TRAIN SUITES SAN JOSE 206,28",,,,,
08/25/2023,ADOBE RENT A CAR SAN JOSE,203.95,,"25août 28août ADOBE RENT A CAR SAN JOSE 203,95",,,,,
08/29/2023,WEBLOYALTY SARL,18.00,,"29août 29août WEBLOYALTY SARL NYON 18,00",,NYON,,,
09/02/2023,THE TRAIN SUITES SAN JOSE,73.62,,"2 sept 4 sept THE TRAIN SUITES SAN JOSE 73,62",,,,,
09/03/2023,THE TRAIN SUITES SAN JOSE,70.58,,"3 sept 5 sept THE TRAIN SUITES SAN JOSE 70,58",,,,,
09/11/2023,AIRBNB * HM84QYDXWC SAN FRANCISCO,159.44,,"11 sept 11 sept AIRBNB * HM84QYDXWC SAN FRANCISCO 159,44",,,,,
09/11/2023,ADOBE RENT A CAR SAN JOSE,9.60,,"11 sept 13 sept ADOBE RENT A CAR SAN JOSE 9,60",,,,,
09/11/2023,ADOBE RENT A CAR SAN JOSE,315.54,,"11 sept 13 sept ADOBE RENT A CAR SAN JOSE 315,54",,,,,
09/12/2023,AIR FRANCE COMPTOIR AIR FRANCE,245.57,,"12 sept 13 sept AIR FRANCE COMPTOIR AIR FRANCE 245,57",,,,,
09/12/2023,AIR FRANCE COMPTOIR AIR FRANCE,200.00,,"12 sept 13 sept AIR FRANCE COMPTOIR AIR FRANCE 200,00",,,,,
09/12/2023,AIRBNB * HM39SN2DM2,196.53,,"12 sept 13 sept AIRBNB * HM39SN2DM2 LONDON 196,53",,LONDON,,,
09/19/2023,DELL SOUTHERN EUROPE DE,99.00,,"19 sept 19 sept DELL SOUTHERN EUROPE DE MONTPELLIER 99,00",,MONTPELLIER,,,
09/20/2023,VERSEMENT / COTISATION,15.00,,"20sept 20sept VERSEMENT / COTISATION 15,00",,,,,
09/25/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-2675.21,,"25sept 25sept PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 2 675,21",,,,,
09/24/2023,IBERIA.COM U AMSTERDAM NL,138.69,,"24sept 25sept IBERIA.COM U AMSTERDAM NL 138,69",,,,,
09/26/2023,EASYJET*EASYJET K65BT5X,97.41,,"26sept 26sept EASYJET*EASYJET K65BT5X LUTON 97,41",,LUTON,,,
09/29/2023,WEBLOYALTY SARL,18.00,,"29sept 29sept WEBLOYALTY SARL NYON 18,00",,NYON,,,
10/06/2023,AIR FRANCE COMPTOIR AIR FRANCE,18.38,,"6 oct 7 oct AIR FRANCE COMPTOIR AIR FRANCE 18,38",,,,,
